Unnamed: 0,Verduras HBE,Precio Verduras HBE,Verduras Chedraui,Precio Verduras Chedraui,Verduras Soriana,Precio Verduras Soriana,Verduras LaComer,Precio Verduras LaComer
,Tomate Huaje Supremo 1 Kg,32.95,Alcachofa Granel Kg,149.5,Jitomate  Huaje/Saladette,24.8,Jitomate Saladet,31.5
,Aguacate Supremo 1 Kg,59.95,Esparrago Pieza 454 Gr,74.9,Poro,21.9,Aguacate Hass,49.9
,Papa Blanca 1 Kg,29.95,Aguacate Hass Enmallado pz,27.9,Papa Blanca Kg,24.8,Cebolla Blanca,42.9
,Cebolla Bca Limpia 1 Kg,34.95,Papa Blanca Granel Kg,26.9,Cebolla Blanca Kg,34.8,Calabaza Italiana,49.9
,Limon Agrio Supremo 1 Kg,37.95,Cebolla Blanca,39.9,Aguacate Kg,39.8,Zanahoria,16.9
,Nopal Limpio 1 Kg,28.95,Aguacate Atlixco Kg,58.0,Zanahoria Kg,15.9,Papa Blanca,25.9
,Cilantro Manojo,5.95,Cebolla De Rabo Granel Kg,29.9,Verdolaga Manojo,12.9,Pepino,22.9
,Pepino Fresco 1 Kg,24.95,Tomatillo Granel Kg,47.9,Apio Kg,19.9,Chayote Sin Espinas,32.9
,Zanahoria 1 Kg,13.95,Papa Cambray Granel Kg,26.9,Cilantro Manojo,5.8,Chile Serrano,41.9
,Calabacita 1 Kg,19.95,Papa Rosada Granel Kg,40.2,Calabaza Italiana/Criolla Kg,26.9,Tomate Verde Sin Cascara,31.9
,Elote Blanco,5.95,Tomate Saladet Granel Kg,34.9,Chile Soriana Pasilla 100 Gr,24.9,Chile Poblano,41.9
,Espinaca Manojo,6.95,Cebolla De Cambray Pz,9.9,Berro Manojo,12.9,Ejote Verde,49.9
,Lechuga Romana,15.95,Tomate Bola Granel Kg,34.9,Camote Morado 1 Kg,49.9,Tomate Verde Con Cascara,29.9
,Tomate Bola Supremo 1 Kg,34.95,Cebolla Perla Roja C Ranch,72.9,Pepino Verde Kg,22.8,Cebolla Morada,42.9
,Limon S/Semilla 1 Kg,29.95,Cebolla Perla Blanca C Ranch,72.9,Aguacate Campo Vivo,87.0,Jitomate Bola,39.9
,Brocoli Coronas 1 Kg,32.95,Cebolla Perla Dorada C Ranch,72.9,Esparrago Verde Mjo,99.0,Ajo Morado,203.0
,Lechuga Orejona,14.95,Jitomate Hidrocool Cherry 380g,30.3,Chile Caribe Kg,59.8,Jengibre,149.3
,Coliflor Blanca Pza,34.95,Tomate Cherry Glorys NatureSweet 283g,41.7,Chile Tajin Ancho 75Gr,30.9,Betabel,17.9
,Chayote Sin Espinas 1 Kg,24.95,Tomate Uva Cherubs NatureSweet 283g,41.7,Lechuga Romana,14.9,Ajo Morado,8.2
,Seasons Select Aguacate Malla,42.95,Cebollin Pz,9.9,Chile Serrano Kg,39.9,Elote Blanco,8.9
,Cebolla Cambray,10.0,Tomate Verde Granel Kg,22.9,Chile Tajin Pasilla 75Gr,31.9,Papa Cambray,31.9
,Papa Blanca Chica 1 Kg,24.95,Aguacate Chiapas Kg,39.9,Brócoli 1 Pz Kg.,34.9,Berenjena,89.9
,Acelga Verde,6.95,Cebolla Amarilla Granel Kg,27.9,Espinaca Manojo,5.8,Poro,41.9
,Limon Amarillo ( Variedad Eureka) 1 Kg,59.95,Cebolla Morada Granel Kg,34.9,Jicama Kg,17.9,Pepino Criollo,5.5
,Tomate Fresadilla 1 Kg,24.95,Papa Cambray Rosada   Kg,37.7,Champiñon Monte Bco Cha 225Gr,28.9,Chile Cuaresmeño,37.9
,Tomatillo Limpio Season Select,22.95,Aguacate Hass por Kg,49.9,Espinaca Baby Vegetalistos 250Gr,46.8,Camote Amarillo Nacional,76.6
,Champinon Bco Reb De 225,21.95,Rabano Largo Rollo,23.7,Lechuga Eva Mini Romaine Bol 2Pz,32.9,Chile Verde De Arbol,91.0
,Chile Poblano 1 Kg,39.95,Hierbabuena Rollo,10.2,Champiñon Crimini Entero 225Gr,28.8,Chicharo,66.1
,Apio 1 Kg,19.95,Manzanilla Rollo,13.1,Soya Germinada Granel Kg,39.8,Cebolla De Rabo,32.2
,Pimiento Semaforo C/3,44.95,Epazote Rollo,12.7,Lechuga Eva Boston Hidroponico Char,28.9,Chile Habanero,86.0
,Chile Serrano 1 Kg,29.95,Apio Granel Kg,16.5,Ensalada Eva Francesa Corazon,31.9,Jitomate Cherry,30.3
,Cebolla Morada 1 Kg,31.0,Camote Morado Granel Kg,49.9,Corazon Lechuga 3 Pack Vf,29.8,Calabaza Criolla,49.9
,Mini Floretes De Brocoli,19.95,Hoja de Chaya  kg,12.5,Zanahoria Baby Vegetalistos 150Gr,14.8,Aguacate Booth,16.4
,Perejil Liso,12.95,Camote Blanco . . Kg,26.2,Zanahoria Rallada Vegetalistos 340 Gr,23.8,Cremini Rebanado,25.0
,Chile Jalapeño 1 Kg,29.95,Recado  kg,57.0,Zanahoria Rallada Vegetalistos 100Gr,14.8,Cebolla Blanca,32.4
,S S Limon Agrio En Malla 1.5 Kg,49.95,Raiz De Azafran Granel Kg,38.6,Arúgula Vegetalistos 120Gr,34.8,Pepino Europeo,31.0
,Tomatillo Limpio 1 Kg,26.95,Chicharo Granel Kg,64.3,Jícama Vegetalistos 454 Gr,32.8,Tomatillo Milpero,34.3
,Esparrago 1Lb 1 Lb,89.95,Ejote Granel Kg,44.9,Ensalada Súper Food Vegetalistos 200Gr,36.8,Elote Blanco Entero Limpio,22.4
,Pimiento Verde 1 Kg,64.95,Betabel Granel Kg,15.7,Corazon Lechuga 2 Pack Vf,19.8,Pimiento Semaforo,81.0
,Champinon Bco Entero De 225 Gr,21.95,Habas Granel Kg,50.8,Ensalada Mr Lucky Festival Clas 312Gr,34.8,Papa Amarilla Chica,37.8
,Aguacatito En Malla,34.95,Chayote Cambray Granel Kg,43.6,Ensalada Mr Lucky Francesa,29.8,Portabella Entero,61.8
,Repollo Verde 1 Kg,9.95,Betabel Cambray Con Rabo,14.12,Corazon De Lechuga Garden Fresh 4 Pieza Bolsa,34.9,Camote Naranja Importado,99.5
,Betabel Rebotado 1 Kg,19.95,Huaje,40.0,Kale Vegatalistos 150Gr,32.8,Aguacate Criollo,68.0
,Lechuga Morada (Sangria) Nal,12.95,Zanahoria Cambray,14.12,Champiñon Crimini Rebanado 250 Gr,29.8,Chile Cuaresmeño,9.5
,Ajo Seasons Select Ajo 4Pzas,44.95,Bulbo De Hinojo,144.9,Champiñon San Miguel Portabellini 500 Gr,72.0,Elote Blanco En Trozos,22.4
,Ajo En Malla,39.95,Salsifi,175.29,Corazon De Lechuga Soriana 3 Pieza,35.9,Haba Verde,37.3
,Lechuga Italiana Nal,14.95,Zanahoria Cambray Con Rabo,266.7,Ensalada Oriental Vegetalistos 300Gr,52.8,Tomatoes Cherubs,41.9
,Floretes Brocoli En Bolsa 1Lb 454 Gr,19.95,Quintoniles,37.0,Ensalada Eva Primavera 250Gr,42.0,Ajo Pelado,54.5
,Palitos De Apio Heb 400 Gr,27.95,Raiz Fuerte,920.0,Espinaca La Huerta 500 Gr,33.0,Chayote Con Espinas,29.9
,Ejote Verde 1 Kg,49.95,Verdolaga Granel Kg,24.6,Chícharo La Huerta 500 Gr,58.5,Champiñon Blanco,85.9
,Lechuga Hidroponica Francesa,29.95,Poro Pz,20.7,Brocoli Florete La Huerta 500 Gr,40.5,Zanahoria Cambray,22.8
,Champinon Bco Reb De 225 Gr,22.95,Rábano Cambray PIEZA,13.2,Elote Congelado Soriana En Grano 500 G,38.0,Tomatoes Glorys,41.9
,Champinon Cremini Reb De 225 Gr,21.95,Perejil Liso Rollo,9.9,Chícharo Con Zanahoria La Huerta 500 Gr,38.0,Chalot,164.6
,Tomate Cherubs 283 Gr,39.95,Espinacas Rollo,8.9,Verdura Congelada Soriana Mezcla Juliana 500 G,23.0,Ajo Italiano,217.0
,Ensalada Lechuga Hidroponica Italiana,29.95,Cilantro Rollo,6.9,Mezcla De Moras Congelada Wendy´S Farm 907 G,90.5,Pepino Europeo,14.4
,Tomate D Glory 283 Gr,39.95,Col Blanca Granel Kg,16.9,Fresa Entera Congelada Freezer Friuts 500 G,55.5,Chile Manzano,101.5
,Vegetalistos Zanahoria Baby 340 Gr,21.95,Col Morada Granel Kg,19.1,Verdura Congelada Soriana Mezcla California 500 G,24.0,Chicharo Limpio,97.0
,Champinon Cremini De 225 Gr,21.95,Flor De Calabaza Granel Kg,108.3,Verdura Congelada Soriana Mezcla Bajío 500 G,20.5,Camote Blanco Nacional,76.6
,Cebolla De Rabo,13.95,Berenjena Granel Kg,81.0,Papas Supergajos Mc Cain Sazonada 750 G,64.9,Papa Criolla,25.8
,Rabanitos En Manojo,16.95,Coliflor Pre Enfriada Pz,39.9,Brócoli Congelado Fresh Seasons 500 G,33.0,Camote Achicalado,87.0
